quality,acidity,alcohol,chlorides,density,sugar,sulfates,type
6,0.27,8.8,0.045,1.001,20.7,0.45,white
6,0.3,9.5,0.049,0.994,1.6,0.49,white
6,0.28,10.1,0.05,0.9951,6.9,0.44,white
6,0.23,9.9,0.058,0.9956,8.5,0.4,white
6,0.23,9.9,0.058,0.9956,8.5,0.4,white
6,0.28,10.1,0.05,0.9951,6.9,0.44,white
6,0.32,9.6,0.045,0.9949,7,0.47,white
6,0.27,8.8,0.045,1.001,20.7,0.45,white
6,0.3,9.5,0.049,0.994,1.6,0.49,white
6,0.22,11,0.044,0.9938,1.5,0.45,white
5,0.27,12,0.033,0.9908,1.45,0.56,white
5,0.23,9.7,0.035,0.9947,4.2,0.53,white
5,0.18,10.8,0.04,0.992,1.2,0.63,white
7,0.16,12.4,0.044,0.9912,1.5,0.52,white
5,0.42,9.7,0.04,1.0002,19.25,0.67,white
7,0.17,11.4,0.032,0.9914,1.5,0.55,white
6,0.48,9.6,0.046,0.9928,1.1,0.36,white
8,0.66,12.8,0.029,0.9892,1.2,0.39,white
6,0.34,11.3,0.033,0.9917,1.1,0.53,white
5,0.31,9.5,0.044,0.9955,7.5,0.5,white
8,0.66,12.8,0.029,0.9892,1.2,0.39,white
7,0.31,11,0.038,0.9912,2.9,0.35,white
8,0.26,10.5,0.049,0.993,1.7,0.48,white
5,0.67,9.3,0.074,0.9937,1.5,0.51,white
6,0.27,10,0.052,0.9951,1.3,0.47,white
6,0.25,10.4,0.046,0.9955,9,0.5,white
6,0.24,10,0.052,0.993,1,0.44,white
6,0.28,10.5,0.051,0.9961,8.7,0.53,white
6,0.27,11.6,0.047,0.9914,1.1,0.49,white
7,0.32,12.3,0.033,0.9906,2,0.71,white
6,0.24,10,0.044,0.9974,10.4,0.53,white
6,0.14,10.2,0.042,0.9934,1.1,0.4,white
6,0.25,10.8,0.05,0.992,2.05,0.44,white
6,0.12,9,0.045,0.9939,1.5,0.51,white
5,0.27,10.2,0.044,0.9962,14.95,0.37,white
5,0.28,12.8,0.08,0.9905,1.7,0.42,white
5,0.39,10,0.051,0.9934,5.4,0.35,white
6,0.33,11.2,0.053,0.9906,1.2,0.28,white
5,0.24,8.6,0.057,0.9999,17.95,0.36,white
5,0.24,8.6,0.057,0.9999,17.95,0.36,white
6,0.23,9.4,0.172,0.9937,2.5,0.36,white
6,0.24,9.4,0.173,0.9937,2.9,0.34,white
6,0.31,9.8,0.069,0.9954,7.4,0.46,white
6,0.24,9.5,0.057,0.9934,1.4,0.56,white
6,0.23,9.5,0.06,0.9934,1.4,0.56,white
7,0.18,10,0.058,0.9931,1.4,0.53,white
4,0.45,9.8,0.063,0.994,4.4,0.52,white
5,0.46,9.8,0.066,0.9939,4.4,0.52,white
6,0.31,9.8,0.069,0.9954,7.4,0.46,white
5,0.19,9.8,0.067,0.995,5,0.48,white
6,0.19,11.7,0.062,0.9917,1.6,0.44,white
7,0.25,11,0.068,0.9914,1.1,0.58,white
7,0.16,10.9,0.057,0.991,1.1,0.46,white
6,0.18,10.9,0.045,0.9911,1,0.35,white
6,0.2,9.1,0.147,0.993,0.9,0.38,white
6,0.25,11,0.039,0.9908,1.3,0.52,white
6,0.21,9.6,0.043,0.9962,11.9,0.5,white
6,0.19,8.9,0.048,0.9972,12.4,0.36,white
6,0.38,10.2,0.044,0.9931,4.6,0.38,white
6,0.2,9.9,0.038,0.9926,1.2,0.34,white
6,0.22,8.6,0.092,0.9951,4.9,0.46,white
6,0.19,8.9,0.048,0.9972,12.4,0.36,white
5,0.47,10.5,0.035,0.991,1.1,0.34,white
6,0.38,10.2,0.044,0.9931,4.6,0.38,white
6,0.24,10.3,0.038,0.9927,1.4,0.46,white
5,0.35,9.1,0.064,0.9934,1.2,0.54,white
7,0.26,12.6,0.04,0.9903,6.4,0.49,white
5,0.25,9.8,0.041,0.992,1.2,0.42,white
8,0.23,10.7,0.046,0.9926,2.1,0.64,white
5,0.24,9.5,0.05,0.9962,10.1,0.35,white
6,0.27,9,0.056,0.9956,7.8,0.51,white
5,0.3,9.5,0.061,0.9958,4.6,0.6,white
5,0.27,10,0.063,0.9964,4.8,0.71,white
6,0.23,9.1,0.054,0.9941,1,0.49,white
8,0.23,10.7,0.046,0.9926,2.1,0.64,white
5,0.24,9.5,0.05,0.9962,10.1,0.35,white
7,0.18,12.7,0.043,0.9898,1.4,0.37,white
7,0.32,12,0.042,0.9912,1.3,0.65,white
5,0.18,9.3,0.064,0.9961,8.8,0.56,white
5,0.54,9,0.06,0.9949,5.4,0.37,white
6,0.22,10.6,0.053,0.9929,1.4,0.77,white
6,0.2,9.2,0.05,0.9985,16,0.6,white
5,0.34,10,0.063,0.9946,6.1,0.42,white
6,0.22,9.5,0.047,0.9966,8.2,0.46,white
5,0.43,8.7,0.045,0.9974,11.8,0.45,white
6,0.44,8.7,0.044,0.9975,11.8,0.46,white
6,0.39,8.7,0.044,0.9974,11,0.44,white
